x y 
0 100.000000
2500 100.000000
5000 100.000000
7500 100.000000
10000 100.000000
12500 100.000000
15000 0.000000
17500 100.000000
20000 100.000000
22500 100.000000
25000 0.000000
27500 0.000000
30000 100.000000
32500 100.000000
35000 100.000000
37500 0.000000
40000 100.000000
42500 100.000000
45000 100.000000
47500 100.000000
50000 100.000000
0 200.000000
2500 100.000000
5000 100.000000
7500 100.000000
10000 100.000000
12500 200.000000
15000 100.000000
17500 100.000000
20000 100.000000
22500 100.000000
25000 100.000000
27500 100.000000
30000 0.000000
32500 0.000000
35000 0.000000
37500 100.000000
40000 100.000000
42500 100.000000
45000 200.000000
47500 100.000000
50000 100.000000
