x y 
0 300.000000
2500 29388300.000000
5000 137302700.000000
7500 326345300.000000
10000 1151109700.000000
12500 1583666500.000000
15000 2978002000.000000
17500 2506934200.000000
20000 3471447200.000000
22500 3817074800.000000
25000 4952198500.000000
27500 8530102000.000000
30000 9078597800.000000
32500 8410352300.000000
35000 8116946800.000000
37500 8930034500.000000
40000 9853818800.000000
42500 11033974300.000000
45000 12068870700.000000
47500 14741141000.000000
50000 15194818200.000000
0 100.000000
2500 29122800.000000
5000 155182900.000000
7500 319970600.000000
10000 588143200.000000
12500 830930100.000000
15000 1149013200.000000
17500 1558861300.000000
20000 1870926100.000000
22500 2513072700.000000
25000 2995283000.000000
27500 4006434100.000000
30000 4499917500.000000
32500 5404550500.000000
35000 6618616500.000000
37500 10888809400.000000
40000 8798891100.000000
42500 9350097300.000000
45000 12382883700.000000
47500 11401457900.000000
50000 14028111000.000000
