x y 
0 200.000000
2500 47099500.000000
5000 161374100.000000
7500 473052300.000000
10000 1487251500.000000
12500 1328609100.000000
15000 3493778800.000000
17500 2613609700.000000
20000 3773306700.000000
22500 4482342000.000000
25000 5708634600.000000
27500 9797672400.000000
30000 9544644400.000000
32500 7879552100.000000
35000 8649657400.000000
37500 9490185100.000000
40000 10900653500.000000
42500 11598145400.000000
45000 13818849200.000000
47500 15970750900.000000
50000 16967050300.000000
0 100.000000
2500 64100100.000000
5000 190335600.000000
7500 351340300.000000
10000 703803700.000000
12500 895625700.000000
15000 1414926200.000000
17500 1612305000.000000
20000 2108909700.000000
22500 2810583400.000000
25000 3432584600.000000
27500 4428409800.000000
30000 4842983900.000000
32500 6206204100.000000
35000 10740139800.000000
37500 8396298900.000000
40000 9406053700.000000
42500 10566388400.000000
45000 13136058300.000000
47500 12011656800.000000
50000 16426414600.000000
