x y 
0 100.000000
2500 3400.000000
5000 6700.000000
7500 10300.000000
10000 13700.000000
12500 25700.000000
15000 19900.000000
17500 25900.000000
20000 28700.000000
22500 29900.000000
25000 33400.000000
27500 36400.000000
30000 39700.000000
32500 43900.000000
35000 46200.000000
37500 49600.000000
40000 52700.000000
42500 56700.000000
45000 59400.000000
47500 63300.000000
50000 67400.000000
0 100.000000
2500 3400.000000
5000 7100.000000
7500 10200.000000
10000 13700.000000
12500 17000.000000
15000 20700.000000
17500 23200.000000
20000 26700.000000
22500 30100.000000
25000 33700.000000
27500 37300.000000
30000 42200.000000
32500 53400.000000
35000 46600.000000
37500 50000.000000
40000 53500.000000
42500 81000.000000
45000 59800.000000
47500 62900.000000
50000 123600.000000
