x y 
0 100.000000
2500 447600.000000
5000 1590600.000000
7500 1421800.000000
10000 1886900.000000
12500 2449300.000000
15000 4302300.000000
17500 4334600.000000
20000 4670500.000000
22500 5048300.000000
25000 5825400.000000
27500 7557600.000000
30000 8974600.000000
32500 9161800.000000
35000 9045000.000000
37500 15164900.000000
40000 11253800.000000
42500 11715800.000000
45000 13593000.000000
47500 13875600.000000
50000 17850900.000000
0 100.000000
2500 451800.000000
5000 909600.000000
7500 1416200.000000
10000 1909800.000000
12500 3159900.000000
15000 3390800.000000
17500 5928600.000000
20000 5062600.000000
22500 6135100.000000
25000 6182100.000000
27500 7798200.000000
30000 9085500.000000
32500 7867400.000000
35000 10729200.000000
37500 12182800.000000
40000 11878500.000000
42500 10421100.000000
45000 16338600.000000
47500 12579000.000000
50000 12629900.000000
